"fips","state","densityMi","pop2023","pop2022","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","publicSchoolScore","qualityRank","safetyRank"
"25","Massachusetts",919.82103,7174604,7126375,7029917,6981690,6547629,0.00677,48229,0.09576,73.14,1,1
"9","Connecticut",746.69537,3615499,3612314,3605944,3602762,3574097,0.00088,3185,0.01158,67.5,2,9
"34","New Jersey",1283.40005,9438124,9388414,9288994,9239284,8791894,0.00529,49710,0.0735,64.36,3,19
"51","Virginia",223.36045,8820504,8757467,8631393,8568357,8001024,0.0072,63037,0.10242,61.71,5,2
"33","New Hampshire",155.9083,1395847,1389741,1377529,1371424,1316470,0.00439,6106,0.0603,61.57,4,12
"24","Maryland",648.84362,6298325,6257958,6177224,6136855,5773552,0.00645,40367,0.09089,60.24,8,4
"10","Delaware",522.08876,1017551,1008350,989948,980743,897934,0.00912,9201,0.13321,58.07,16,3
"31","Nebraska",26.06024,2002052,1988536,1961504,1947985,1826341,0.0068,13516,0.09621,57.81,12,8
"55","Wisconsin",109.96966,5955737,5935064,5893718,5873043,5686986,0.00348,20673,0.04726,57.48,6,28
"50","Vermont",70.33514,648279,646545,643077,641347,625741,0.00268,1734,0.03602,57.43,15,6
"44","Rhode Island",1074.29594,1110822,1106341,1097379,1092896,1052567,0.00405,4481,0.05535,57.21,13,10
"27","Minnesota",73.18202,5827265,5787008,5706494,5666238,5303925,0.00696,40257,0.09867,57,7,36
"23","Maine",44.50148,1372559,1369159,1362359,1358961,1328361,0.00248,3400,0.03327,56.87,18,7
"36","New York",433.90472,20448194,20365879,20201249,20118937,19378102,0.00404,82315,0.05522,56.42,11,16
"17","Illinois",230.67908,12807072,12808884,12812508,12814324,12830632,-0.00014,-1812,-0.00184,56.27,9,24
"49","Utah",41.66892,3423935,3373162,3271616,3220842,2763885,0.01505,50773,0.23881,55.87,17,15
"38","North Dakota",11.75409,811044,800394,779094,768441,672591,0.01331,10650,0.20585,55.3,10,31
"12","Florida",416.95573,22359251,22085563,21538187,21264502,18801310,0.01239,273688,0.18924,55.22,14,20
"21","Kentucky",115.37702,4555777,4539130,4505836,4489190,4339367,0.00367,16647,0.04987,54.18,23,14
"19","Iowa",57.89018,3233572,3219171,3190369,3175964,3046355,0.00447,14401,0.06146,53.71,22,18
"8","Colorado",57.86332,5997070,5922618,5773714,5699264,5029196,0.01257,74452,0.19245,53.7,20,23
"18","Indiana",191.92896,6876047,6845874,6785528,6755359,6483802,0.00441,30173,0.0605,53.31,25,11
"56","Wyoming",5.98207,580817,579495,576851,575524,563626,0.00228,1322,0.0305,53.07,24,22
"42","Pennsylvania",292.62222,13092796,13062764,13002700,12972667,12702379,0.0023,30032,0.03074,52.86,19,33
"46","South Dakota",11.98261,908414,901165,886667,879421,814180,0.00804,7249,0.11574,52.43,21,35
"53","Washington",120.37292,7999503,7901429,7705281,7607206,6724540,0.01241,98074,0.1896,51.31,27,5
"30","Montana",7.64479,1112668,1103187,1084225,1074744,989415,0.00859,9481,0.12457,50.33,26,37
"48","Texas",116.16298,30345487,29945493,29145505,28745507,25145561,0.01336,399994,0.20679,49.86,31,13
"20","Kansas",36.24443,2963308,2954832,2937880,2929402,2853118,0.00287,8476,0.03862,47.47,28,41
"39","Ohio",290.70091,11878330,11852036,11799448,11773150,11536504,0.00222,26294,0.02963,47.43,33,26
"47","Tennessee",171.70515,7080262,7023788,6910840,6854371,6346105,0.00804,56474,0.11569,46.93,30,44
"13","Georgia",191.5947,11019186,10916760,10711908,10609487,9687653,0.00938,102426,0.13745,46.22,36,27
"37","North Carolina",220.30026,10710558,10620168,10439388,10348993,9535483,0.00851,90390,0.12323,46.06,37,29
"26","Michigan",179.26454,10135438,10116069,10077331,10057961,9883640,0.00191,19369,0.02548,45.92,32,43
"29","Missouri",90.26083,6204710,6188111,6154913,6138318,5988927,0.00268,16599,0.03603,45.88,29,50
"16","Idaho",23.23926,1920562,1893410,1839106,1811950,1567582,0.01434,27152,0.22517,45.2,34,42
"5","Arkansas",58.42619,3040207,3030646,3011524,3001967,2915918,0.00315,9561,0.04262,43.84,39,40
"32","Nevada",29.38425,3225832,3185426,3104614,3064205,2700551,0.01268,40406,0.19451,43.64,38,46
"15","Hawaii",231.00763,1483762,1474265,1455271,1445774,1360301,0.00644,9497,0.09076,43.09,40,32
"6","California",258.20877,40223504,39995077,39538223,39309799,37253956,0.00571,228427,0.07971,42.42,35,51
"41","Oregon",45.41307,4359110,4318492,4237256,4196636,3831074,0.00941,40618,0.13783,40.96,41,39
"45","South Carolina",175.18855,5266343,5217037,5118425,5069118,4625364,0.00945,49306,0.13858,38.94,42,48
"54","West Virginia",73.88019,1775932,1781860,1793716,1799642,1852994,-0.00333,-5928,-0.04159,38.47,44,17
"28","Mississippi",63.07084,2959473,2960075,2961279,2961879,2967297,-0.0002,-602,-0.00264,38.22,43,38
"40","Oklahoma",58.63041,4021753,4000953,3959353,3938551,3751351,0.0052,20800,0.07208,37.15,45,25
"1","Alabama",100.65438,5097641,5073187,5024279,4999822,4779736,0.00482,24454,0.06651,37.02,47,21
"2","Alaska",1.29738,740339,738023,733391,731075,710231,0.00314,2316,0.04239,36.43,46,30
"4","Arizona",64.96246,7379346,7303398,7151502,7075549,6392017,0.0104,75948,0.15446,35.13,48,34
"22","Louisiana",108.67214,4695071,4682633,4657757,4645314,4533372,0.00266,12438,0.03567,33.37,49,45
"35","New Mexico",17.60148,2135024,2129190,2117522,2111685,2059179,0.00274,5834,0.03683,25.26,50,49